time,open,high,low,close
2021-10-28,16452,16589,16452,16548
2021-10-29,16612,16612,16361,16361
2021-11-01,16380,16571,16380,16510
2021-11-02,16513,16571,16494,16494
2021-11-03,16540,16678,16532,16588
2021-11-04,16660,16660,16554,16554
2021-11-05,16592,16623,16498,16563
2021-11-08,16564,16617,16475,16511
2021-11-09,16512,16545,16473,16504
2021-11-10,16503,16524,16348,16348
2021-11-11,16349,16419,16320,16320
2021-11-12,16304,16308,16236,16280
2021-11-15,16279,16301,16128,16146
2021-11-16,16148,16190,16088,16088
2021-11-17,16094,16138,16088,16112
2021-11-18,16124,16178,16124,16171
2021-11-19,16167,16172,16051,16051
2021-11-22,16056,16077,15997,15997
2021-11-23,16003,16086,16003,16029
2021-11-24,16041,16043,15959,15959
2021-11-25,15966,16039,15966,15998
2021-11-26,15981,16325,15981,16183
2021-11-29,16133,16204,16118,16163
2021-11-30,16166,16306,16166,16231
2021-12-01,16263,16294,16221,16226
2021-12-02,16240,16387,16239,16239
2021-12-03,16245,16383,16245,16273
2021-12-06,16281,16339,16280,16284
2021-12-07,16291,16301,16146,16193
2021-12-08,16200,16295,16179,16275
2021-12-09,16282,16282,16199,16199
2021-12-10,16207,16271,16191,16254
2021-12-13,16257,16259,16138,16177
2021-12-14,16173,16222,16126,16149
2021-12-15,16122,16192,16101,16177
2021-12-16,16175,16283,16175,16241
2021-12-17,16270,16304,16135,16135
2021-12-20,16138,16264,16138,16203
2021-12-21,16214,16230,16091,16142
2021-12-22,16146,16193,16070,16173
2021-12-23,16161,16172,16032,16128
2021-12-24,16127,16136,16037,16085
2021-12-27,16087,16146,16086,16102
2021-12-28,16106,16122,16075,16079
2021-12-29,16080,16183,16080,16162
2021-12-30,16179,16188,16117,16149
2021-12-31,16161,16252,16100,16250
2022-01-03,16234,16236,16108,16108
2022-01-04,16105,16218,16105,16133
2022-01-05,16158,16316,16151,16232
2022-01-06,16241,16290,16234,16252
2022-01-07,16252,16308,16194,16303
2022-01-10,16302,16305,16139,16175
2022-01-11,16195,16278,16195,16228
2022-01-12,16248,16367,16248,16348
2022-01-13,16371,16407,16371,16375
2022-01-14,16362,16422,16312,16312
2022-01-17,16311,16364,16311,16332
2022-01-18,16331,16360,16221,16231
2022-01-19,16221,16305,16221,16281
2022-01-20,16294,16320,16205,16207
2022-01-21,16226,16286,16216,16254
2022-01-24,16259,16267,16211,16232
2022-01-25,16240,16240,16163,16208
2022-01-26,16209,16213,16129,16137
2022-01-27,16097,16152,16015,16015
2022-01-28,16023,16070,16009,16026
2022-01-31,16025,16162,16025,16160
2022-02-01,16163,16210,16104,16203
2022-02-02,16198,16239,16175,16222
2022-02-03,16218,16450,16218,16437
2022-02-04,16439,16521,16439,16456
2022-02-07,16454,16489,16442,16458
2022-02-08,16463,16477,16399,16401
2022-02-09,16420,16435,16367,16367
2022-02-10,16391,16468,16349,16380
2022-02-11,16381,16388,16269,16276
2022-02-14,16280,16296,16160,16188
2022-02-15,16187,16256,16161,16236
2022-02-16,16231,16255,16206,16206
2022-02-17,16232,16315,16208,16258
2022-02-18,16257,16314,16216,16216
2022-02-21,16211,16312,16208,16208
2022-02-22,16196,16315,16196,16259
2022-02-23,16276,16286,16197,16197
2022-02-24,16200,16219,15996,16091
2022-02-25,16086,16190,16053,16184
2022-02-28,16184,16187,16021,16114
2022-03-01,16110,16114,15923,16026
2022-03-02,15943,15990,15941,15965
2022-03-03,15988,15988,15872,15872
2022-03-04,15912,15912,15695,15715
2022-03-07,15712,15720,15588,15626
2022-03-08,15635,15764,15630,15678
2022-03-09,15686,15915,15662,15884
2022-03-10,15883,15906,15680,15682
2022-03-11,15688,15779,15597,15597
2022-03-14,15595,15733,15595,15674
2022-03-15,15677,15778,15650,15673
2022-03-16,15693,15788,15678,15782
2022-03-17,15764,15928,15755,15854
2022-03-18,15859,15890,15792,15838
2022-03-21,15829,15864,15787,15787
2022-03-22,15794,15829,15770,15825
2022-03-23,15831,15835,15776,15789
2022-03-24,15782,15805,15768,15770
2022-03-25,15782,15824,15741,15741
2022-03-28,15745,15793,15723,15767
2022-03-29,15773,15968,15773,15919
2022-03-30,15926,16003,15926,15998
2022-03-31,16006,16024,15880,15893
2022-04-01,15887,15893,15859,15864
2022-04-04,15849,15868,15719,15751
2022-04-05,15751,15757,15635,15635
2022-04-06,15640,15695,15634,15637
2022-04-07,15635,15712,15612,15612
2022-04-08,15592,15632,15589,15610
2022-04-11,15608,15691,15608,15625
2022-04-12,15631,15644,15541,15541
2022-04-13,15540,15637,15540,15630
2022-04-14,15628,15664,15469,15522
2022-04-15,15518,15538,15508,15512
2022-04-18,15507,15508,15465,15465
2022-04-19,15464,15504,15463,15472
2022-04-20,15473,15583,15470,15567
2022-04-21,15564,15673,15534,15534
2022-04-22,15532,15630,15489,15499
2022-04-25,15505,15633,15466,15476
2022-04-26,15475,15511,15321,15321
2022-04-27,15336,15348,15198,15211
2022-04-28,15208,15314,15182,15210
2022-04-29,15195,15346,15195,15278
2022-05-02,15278,15306,15203,15221
2022-05-03,15237,15303,15218,15229
2022-05-04,15229,15400,15196,15393
2022-05-05,15402,15402,15207,15273
2022-05-06,15258,15335,15253,15279
2022-05-09,15241,15378,15224,15359
2022-05-10,15275,15383,15275,15319
2022-05-11,15314,15361,15278,15298
2022-05-12,15287,15335,15144,15144
2022-05-13,15126,15249,15126,15206
2022-05-16,15208,15338,15208,15240
2022-05-17,15255,15448,15255,15444
2022-05-18,15447,15471,15355,15355
2022-05-19,15386,15612,15376,15583
2022-05-20,15577,15579,15445,15480
2022-05-23,15477,15678,15477,15669
2022-05-24,15655,15739,15636,15726
2022-05-25,15728,15728,15576,15633
2022-05-26,15638,15701,15615,15692
2022-05-27,15694,15749,15557,15642
2022-05-30,15645,15715,15627,15682
2022-05-31,15667,15687,15554,15639
2022-06-01,15643,15650,15487,15523
2022-06-02,15538,15603,15450,15603
2022-06-03,15604,15623,15461,15461
2022-06-06,15462,15522,15432,15446
2022-06-07,15456,15484,15408,15470
2022-06-08,15477,15596,15462,15507
2022-06-09,15510,15676,15453,15453
2022-06-10,15448,15494,15309,15317
2022-06-13,15318,15428,15271,15271
2022-06-14,15267,15414,15267,15302
2022-06-15,15342,15464,15287,15393
2022-06-16,15424,15693,15342,15573
2022-06-17,15538,15615,15521,15553
2022-06-20,15555,15622,15545,15579
2022-06-21,15587,15657,15574,15594
2022-06-22,15590,15721,15571,15699
2022-06-23,15664,15696,15592,15604
2022-06-24,15605,15668,15605,15661
2022-06-27,15661,15702,15623,15660
2022-06-28,15655,15702,15601,15601
2022-06-29,15604,15650,15495,15495
2022-06-30,15522,15661,15478,15608
2022-07-01,15586,15657,15519,15588
2022-07-04,15590,15682,15579,15591
2022-07-05,15632,15651,15379,15379
2022-07-06,15383,15445,15251,15255
2022-07-07,15253,15319,15195,15224
2022-07-08,15225,15261,15124,15260
2022-07-11,15216,15216,15020,15020
2022-07-12,15041,15077,15003,15023
2022-07-13,15021,15168,15004,15066
2022-07-14,15037,15123,15010,15010
2022-07-15,15023,15125,15007,15114
2022-07-18,15133,15226,15122,15199
2022-07-19,15197,15357,15186,15313
2022-07-20,15330,15368,15233,15247
2022-07-21,15243,15424,15243,15364
2022-07-22,15354,15362,15221,15340
2022-07-25,15258,15330,15258,15316
2022-07-26,15317,15344,15164,15167
2022-07-27,15168,15319,15128,15312
2022-07-28,15318,15326,15101,15241
2022-07-29,15239,15289,15109,15289
2022-08-01,15273,15273,15162,15249
2022-08-02,15256,15282,15123,15127
2022-08-03,15121,15196,15094,15155
2022-08-04,15147,15295,15147,15291
2022-08-05,15285,15285,15155,15155
2022-08-08,15154,15209,15130,15156
2022-08-09,15166,15210,15154,15158
